lat,lon,pm10_value
44.231094,11.667065,17.417616
44.2308,11.679572,16.839937
44.230507,11.6920805,17.091599
44.230213,11.704588,17.437874
44.229916,11.717095,17.609303
44.229618,11.729602,17.449625
44.229317,11.742109,17.16002
44.229015,11.754616,17.012302
44.228714,11.767122,17.592937
44.262627,10.40316,11.651793
44.26247,10.415685,11.641876
44.262314,10.428208,11.460911
44.262157,10.440733,11.242355
44.261997,10.453258,10.820358
44.261837,10.465781,9.916182
44.261677,10.478305,9.91439
44.261513,10.4908285,10.059428
44.26135,10.503353,10.859706
44.261185,10.515876,11.783253
44.261017,10.528399,12.16868
44.26085,10.540923,12.386719
44.26068,10.553447,12.166101
44.26051,10.565969,12.29034
44.260338,10.578492,11.939955
44.260162,10.591016,11.686543
44.259987,10.6035385,11.665834
44.25981,10.616061,11.541562
44.259632,10.628584,11.392305
44.259453,10.641107,11.593294
44.259274,10.653628,12.658103
44.25909,10.666151,13.093145
44.258907,10.678673,12.844867
44.258724,10.691195,13.081894
44.258537,10.703717,14.718687
44.25835,10.716239,14.624348
44.25816,10.728761,14.071851
44.25797,10.7412815,13.690876
44.25778,10.753803,13.391384
44.257587,10.766324,13.691327
44.257393,10.778846,14.809726
44.257195,10.791367,15.955286
44.257,10.803887,16.441036
44.2568,10.816408,16.528297
44.2566,10.828929,15.494662
44.256397,10.84145,13.155927
44.256195,10.85397,12.981425
44.255993,10.86649,12.563392
44.255787,10.87901,12.543693
44.25558,10.89153,12.452626
44.25537,10.90405,13.364624
44.25516,10.91657,13.7952175
44.25495,10.92909,14.911344
44.25474,10.941608,16.97763
44.254528,10.954128,16.108145
44.25431,10.966647,14.250006
44.254097,10.979166,14.207573
44.25388,10.991685,14.352728
44.25366,11.004204,14.421802
44.253437,11.016723,13.5333605
44.253216,11.029241,12.232712
44.252995,11.0417595,12.765039
44.25277,11.054277,13.05451
44.252544,11.066795,13.476325
44.252316,11.079313,13.750293
44.252087,11.091831,13.4773
44.251858,11.104348,13.04155
44.251625,11.116866,13.073013
44.251392,11.129383,13.1321945
44.25116,11.1419,13.731973
44.250923,11.154417,13.742101
44.250687,11.166934,13.859199
44.250446,11.179451,14.012546
44.25021,11.191967,14.204218
44.249966,11.204484,13.70391
44.249725,11.217,13.477756
44.24948,11.229516,13.309902
44.249237,11.242032,13.0716915
44.24899,11.254548,12.808107
44.24874,11.267063,12.567943
44.248493,11.279578,13.210633
44.24824,11.292094,14.162434
44.24799,11.304609,14.558593
44.247738,11.317123,15.333209
44.247482,11.3296385,15.41624
44.247227,11.342154,14.498463
44.246967,11.354668,14.887896
44.24671,11.367182,14.894976
44.24645,11.379696,14.568311
44.24619,11.39221,14.397928
44.245926,11.404723,14.05936
44.245663,11.417237,13.9433365
44.245396,11.42975,13.793804
44.24513,11.442264,14.091692
44.24486,11.454777,14.146981
44.24459,11.46729,14.250046
44.24432,11.479802,14.193991
44.244045,11.492315,14.259265
44.243774,11.5048275,14.279336
44.2435,11.51734,14.3922825
44.24322,11.529851,14.613862
44.242943,11.542363,14.880288
44.242664,11.554874,15.09049
44.242382,11.567387,15.383776
44.2421,11.579898,15.637813
44.241817,11.592408,15.337091
44.24153,11.604919,14.887678
44.241245,11.617431,14.9235525
44.24096,11.629941,15.138464
44.24067,11.642451,15.335571
44.24038,11.654962,15.419177
44.24009,11.667471,15.426167
44.239796,11.679981,15.418392
44.239502,11.692491,15.615992
44.239204,11.705,15.904301
44.238907,11.717509,16.16514
44.23861,11.730019,16.219358
44.23831,11.742527,16.066858
44.23801,11.755035,16.2429
44.237705,11.767544,16.421513
44.271626,10.403375,12.119539
44.27147,10.4159,11.974954
44.271317,10.428427,11.611944
44.271156,10.440953,11.220422
44.271,10.453479,10.257293
44.27084,10.466005,10.079328
44.270676,10.478531,10.140986
44.270515,10.491056,10.806469
44.27035,10.503582,12.23518
44.270184,10.516108,13.044486
44.27002,10.528633,13.091088
44.269848,10.541159,12.534579
44.26968,10.553683,12.263987
44.26951,10.566209,12.985434
44.269337,10.578733,12.250747
44.26916,10.591258,11.8762455
44.268986,10.603784,11.703451
44.26881,10.616308,11.540196
44.26863,10.628832,11.548664
44.26845,10.641356,11.286383
44.268272,10.653881,11.35801
44.26809,10.666405,12.874444
44.267906,10.678929,13.073596
44.267723,10.691453,13.992188
44.267536,10.703977,15.77518
44.26735,10.7165,14.866591
44.26716,10.729024,13.57516
44.266968,10.741548,13.165024
44.266777,10.754071,13.046047
44.266586,10.766594,12.928686
44.26639,10.779117,13.7975025
44.266193,10.79164,15.034853
44.266,10.804163,16.148727
44.2658,10.816686,16.919832
44.2656,10.829208,16.422506
44.265396,10.84173,13.777952
44.265194,10.854253,13.292566
44.26499,10.866775,13.010202
44.264786,10.879297,12.973317
44.26458,10.891819,13.152675
44.26437,10.904341,12.794342
44.26416,10.9168625,13.634594
44.26395,10.929383,15.681393
44.263737,10.941905,16.633568
44.263523,10.954426,15.136878
44.26331,10.966948,14.481249
44.263092,10.979468,14.074844
44.262875,10.991989,14.306057
44.262657,11.00451,14.857155
44.262436,11.01703,14.776357
44.262215,11.029551,12.470113
44.26199,11.04207,12.791253
44.261765,11.054591,13.399564
44.26154,11.067111,13.686118
44.261314,11.079631,13.920793
44.261086,11.09215,13.714865
44.260853,11.10467,13.723977
44.260624,11.117189,13.433051
44.26039,11.129708,13.110741
44.260155,11.142227,13.83087
44.25992,11.154746,13.868081
44.25968,11.167265,14.078807
44.259445,11.179784,14.235806
44.259205,11.192302,14.48016
44.258965,11.20482,14.039636
44.25872,11.217339,13.790924
44.258476,11.2298565,13.407977
44.258232,11.242373,13.252466
44.257988,11.254891,13.0193
44.25774,11.267409,12.881452
44.25749,11.279926,13.364134
44.257236,11.292443,14.171565
44.256985,11.30496,14.482641
44.256733,11.317477,14.887452
44.256477,11.329994,14.569535
44.25622,11.34251,14.59803
44.255966,11.355026,14.788124
44.255707,11.367543,14.916445
44.255444,11.380059,14.710197
44.255184,11.392574,14.35984
44.25492,11.40509,14.058027
44.254658,11.417605,13.823128
44.25439,11.430121,13.893462
44.254124,11.4426365,13.876681
44.253857,11.455152,13.914461
44.253586,11.467666,14.080882
44.253315,11.480181,14.184185
44.25304,11.492695,14.220747
44.25277,11.505209,14.253658
44.25249,11.517723,14.282074
44.252216,11.530237,14.58137
44.251938,11.542751,15.524917
44.25166,11.555264,16.028105
44.251377,11.567778,15.65248
44.251095,11.580291,15.173661
44.250813,11.592804,14.965755
44.250526,11.605317,14.94504
44.25024,11.617829,14.998773
44.249954,11.630342,15.052621
44.249664,11.642854,15.234646
44.249374,11.655366,15.417705
44.24908,11.667878,15.548202
44.24879,11.680389,15.645367
44.248493,11.692901,15.755191
44.2482,11.705413,15.894936
44.247902,11.717923,16.028141
44.247604,11.730434,16.1556
44.247303,11.742945,16.315409
44.247,11.755456,16.516628
44.2467,11.767966,16.74259
44.280624,10.403588,12.370603
44.28047,10.416117,12.025797
44.280315,10.428645,11.613098
44.28016,10.441173,11.1461115
44.28,10.453701,10.166959
44.27984,10.4662285,10.488926
44.27968,10.478757,10.988094
44.279514,10.491284,11.622597
44.27935,10.503812,12.3452835
44.279186,10.516339,12.902465
44.27902,10.528867,12.909358
44.27885,10.541393,12.271649
44.27868,10.553921,12.19522
44.278507,10.566447,13.959585
